Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/04/19/1400H:  9.36647891998291 seconds
Processing Time for 2022/04/19/1500H:  5.159609079360962 seconds
Processing Time for 2022/04/19/1600H:  8.566935062408447 seconds
Processing Time for 2022/04/19/1700H:  5.190322160720825 seconds
Processing Time for 2022/04/19/1800H:  10.063300371170044 seconds
Processing Time for 2022/04/19/1900H:  11.192126750946045 seconds
Processing Time for 2022/04/19/2000H:  11.100419044494629 seconds
Processing Time for 2022/04/19/2100H:  4.574105501174927 seconds
Processing Time for 2022/04/19/2200H:  3.0882418155670166 seconds
Processing Time for 2022/04/19/2300H:  0.6000716686248779 seconds
Processing Time for 2022/04/20/0000H:  0.4659867286682129 seconds
Processing Time for 2022/04/20/0100H:  0.14873528480529785 seconds
Processing Time for 2022/04/20/0200H:  0.14543628692626953 seconds
Processing Time for 2022/04/20/0300H:  0.2828383445739746 seconds
Processing Time for 2022/04/20/0400H:  0.1438615322113037 seconds
Processing Time for 2022/04/20/0500H:  1.7289183139801025 seconds
Processing Time for 2022/04/20/0600H:  3.703364849090576 seconds
Processing Time for 2022/04/20/0700H:  11.270317316055298 seconds
Processing Time for 2022/04/20/0800H:  4.315114498138428 seconds
Processing Time for 2022/04/20/0900H:  12.108654022216797 seconds
Processing Time for 2022/04/20/1000H:  11.877577066421509 seconds
Processing Time for 2022/04/20/1100H:  6.309495210647583 seconds
Processing Time for 2022/04/20/1200H:  10.882335186004639 seconds
Processing Time for 2022/04/20/1300H:  1.9880239963531494 seconds
Processing Time for 2022/04/20/1400H:  9.726197242736816 seconds
Processing Time for 2022/04/20/1500H:  5.703219413757324 seconds
Processing Time for 2022/04/20/1600H:  8.7106294631958 seconds
Processing Time for 2022/04/20/1700H:  5.239243745803833 seconds
Processing Time for 2022/04/20/1800H:  9.69927716255188 seconds
Processing Time for 2022/04/20/1900H:  9.812955856323242 seconds
Processing Time for 2022/04/20/2000H:  9.62522029876709 seconds
Processing Time for 2022/04/20/2100H:  5.950354337692261 seconds
Processing Time for 2022/04/20/2200H:  5.098110198974609 seconds
Processing Time for 2022/04/20/2300H:  1.3531060218811035 seconds
Processing Time for 2022/04/21/0000H:  0.8799192905426025 seconds
Processing Time for 2022/04/21/0100H:  0.30410003662109375 seconds
Processing Time for 2022/04/21/0200H:  0.2956535816192627 seconds
Processing Time for 2022/04/21/0300H:  0.5044887065887451 seconds
Processing Time for 2022/04/21/0400H:  0.28508448600769043 seconds
Processing Time for 2022/04/21/0500H:  2.0051109790802 seconds
Processing Time for 2022/04/21/0600H:  3.680952548980713 seconds
Processing Time for 2022/04/21/0700H:  8.704322099685669 seconds
Processing Time for 2022/04/21/0800H:  4.222887277603149 seconds
Processing Time for 2022/04/21/0900H:  11.807475328445435 seconds
Processing Time for 2022/04/21/1000H:  11.606266736984253 seconds
Processing Time for 2022/04/21/1100H:  6.680153131484985 seconds
Processing Time for 2022/04/21/1200H:  11.162796020507812 seconds
Processing Time for 2022/04/21/1300H:  3.0970590114593506 seconds
Processing Time for 2022/04/21/1400H:  9.470994472503662 seconds
Processing Time for 2022/04/21/1500H:  5.694600582122803 seconds
Processing Time for 2022/04/21/1600H:  10.157808303833008 seconds
Processing Time for 2022/04/21/1700H:  5.1405487060546875 seconds
Processing Time for 2022/04/21/1800H:  10.15384554862976 seconds
Processing Time for 2022/04/21/1900H:  10.647202491760254 seconds
Processing Time for 2022/04/21/2000H:  10.547806739807129 seconds
Processing Time for 2022/04/21/2100H:  5.436415910720825 seconds
Processing Time for 2022/04/21/2200H:  3.6594533920288086 seconds
Processing Time for 2022/04/21/2300H:  1.0654594898223877 seconds
Processing Time for 2022/04/22/0000H:  0.9783074855804443 seconds
Processing Time for 2022/04/22/0100H:  0.9515671730041504 seconds
Processing Time for 2022/04/22/0200H:  0.7501347064971924 seconds
Processing Time for 2022/04/22/0300H:  0.64202880859375 seconds
Processing Time for 2022/04/22/0400H:  0.6941685676574707 seconds
Processing Time for 2022/04/22/0500H:  2.515777826309204 seconds
Processing Time for 2022/04/22/0600H:  4.182740926742554 seconds
Processing Time for 2022/04/22/0700H:  8.86754298210144 seconds
Processing Time for 2022/04/22/0800H:  4.793753147125244 seconds
Processing Time for 2022/04/22/0900H:  12.444631576538086 seconds
Processing Time for 2022/04/22/1000H:  12.34054183959961 seconds
Processing Time for 2022/04/22/1100H:  6.781005859375 seconds
Processing Time for 2022/04/22/1200H:  11.766122579574585 seconds
Processing Time for 2022/04/22/1300H:  2.900172710418701 seconds
Processing Time for 2022/04/22/1400H:  9.842465162277222 seconds
Processing Time for 2022/04/22/1500H:  6.418946743011475 seconds
Processing Time for 2022/04/22/1600H:  9.07742714881897 seconds
Processing Time for 2022/04/22/1700H:  4.920914649963379 seconds
Processing Time for 2022/04/22/1800H:  9.97172737121582 seconds
Processing Time for 2022/04/22/1900H:  10.833544254302979 seconds
Processing Time for 2022/04/22/2000H:  11.307133197784424 seconds
Processing Time for 2022/04/22/2100H:  6.251907825469971 seconds
Processing Time for 2022/04/22/2200H:  3.64984393119812 seconds
Processing Time for 2022/04/22/2300H:  0.7358477115631104 seconds
Processing Time for 2022/04/23/0000H:  0.4554128646850586 seconds
Processing Time for 2022/04/23/0100H:  0.48733067512512207 seconds
Processing Time for 2022/04/23/0200H:  0.42862415313720703 seconds
Processing Time for 2022/04/23/0300H:  0.4221644401550293 seconds
Processing Time for 2022/04/23/0400H:  0.2764892578125 seconds
Processing Time for 2022/04/23/0500H:  1.2681279182434082 seconds
Processing Time for 2022/04/23/0600H:  2.670355796813965 seconds
Processing Time for 2022/04/23/0700H:  7.80712103843689 seconds
Processing Time for 2022/04/23/0800H:  4.885550022125244 seconds
Processing Time for 2022/04/23/0900H:  12.583924531936646 seconds
Processing Time for 2022/04/23/1000H:  12.374025583267212 seconds
Processing Time for 2022/04/23/1100H:  6.367731332778931 seconds
Processing Time for 2022/04/23/1200H:  12.14065146446228 seconds
Processing Time for 2022/04/23/1300H:  2.5215773582458496 seconds
Processing Time for 2022/04/23/1400H:  10.448080778121948 seconds
Processing Time for 2022/04/23/1500H:  6.691523551940918 seconds
Processing Time for 2022/04/23/1600H:  9.518719911575317 seconds
Processing Time for 2022/04/23/1700H:  5.271974802017212 seconds
Processing Time for 2022/04/23/1800H:  9.700103759765625 seconds
Processing Time for 2022/04/23/1900H:  9.58363938331604 seconds
Processing Time for 2022/04/23/2000H:  11.166497230529785 seconds
Processing Time for 2022/04/23/2100H:  4.907743692398071 seconds
Processing Time for 2022/04/23/2200H:  2.3951709270477295 seconds
Processing Time for 2022/04/23/2300H:  0.7649061679840088 seconds
Processing Time for 2022/04/24/0000H:  0.7089505195617676 seconds
Processing Time for 2022/04/24/0100H:  0.5809147357940674 seconds
Processing Time for 2022/04/24/0200H:  0.43594837188720703 seconds
Processing Time for 2022/04/24/0300H:  0.5939080715179443 seconds
Processing Time for 2022/04/24/0400H:  0.45534324645996094 seconds
Processing Time for 2022/04/24/0500H:  1.9337592124938965 seconds
Processing Time for 2022/04/24/0600H:  3.2311878204345703 seconds
Processing Time for 2022/04/24/0700H:  8.306535005569458 seconds
Processing Time for 2022/04/24/0800H:  4.279467344284058 seconds
Processing Time for 2022/04/24/0900H:  12.135993719100952 seconds
Processing Time for 2022/04/24/1000H:  11.805473566055298 seconds
Processing Time for 2022/04/24/1100H:  6.665302515029907 seconds
Processing Time for 2022/04/24/1200H:  12.420977115631104 seconds
Processing Time for 2022/04/24/1300H:  3.794034719467163 seconds
Processing Time for 2022/04/24/1400H:  9.945505380630493 seconds
Processing Time for 2022/04/24/1500H:  6.615301609039307 seconds
Processing Time for 2022/04/24/1600H:  10.666513204574585 seconds
Processing Time for 2022/04/24/1700H:  5.4673871994018555 seconds
Processing Time for 2022/04/24/1800H:  12.912289381027222 seconds
Processing Time for 2022/04/24/1900H:  15.125920295715332 seconds
Processing Time for 2022/04/24/2000H:  14.933984756469727 seconds
Processing Time for 2022/04/24/2100H:  7.836101293563843 seconds
Processing Time for 2022/04/24/2200H:  4.318567991256714 seconds
Processing Time for 2022/04/24/2300H:  1.70289945602417 seconds
Processing Time for 2022/04/25/0000H:  1.473839282989502 seconds
Processing Time for 2022/04/25/0100H:  1.242523431777954 seconds
Processing Time for 2022/04/25/0200H:  1.0301074981689453 seconds
Processing Time for 2022/04/25/0300H:  1.224839448928833 seconds
Processing Time for 2022/04/25/0400H:  1.0575337409973145 seconds
Processing Time for 2022/04/25/0500H:  2.5539891719818115 seconds
Processing Time for 2022/04/25/0600H:  4.025496482849121 seconds
Processing Time for 2022/04/25/0700H:  10.197111368179321 seconds
Processing Time for 2022/04/25/0800H:  5.145738363265991 seconds
Processing Time for 2022/04/25/0900H:  13.038981437683105 seconds
Processing Time for 2022/04/25/1000H:  16.315232038497925 seconds
Processing Time for 2022/04/25/1100H:  12.175759315490723 seconds
Processing Time for 2022/04/25/1200H:  15.397423028945923 seconds
Processing Time for 2022/04/25/1300H:  8.901259183883667 seconds
Processing Time for 2022/04/25/1400H:  11.869976282119751 seconds
Processing Time for 2022/04/25/1500H:  12.837319612503052 seconds
Processing Time for 2022/04/25/1600H:  17.083014965057373 seconds
Processing Time for 2022/04/25/1700H:  13.090407848358154 seconds
Processing Time for 2022/04/25/1800H:  20.270755529403687 seconds
Processing Time for 2022/04/25/1900H:  23.492040872573853 seconds
Processing Time for 2022/04/25/2000H:  26.400070190429688 seconds
Processing Time for 2022/04/25/2100H:  22.68948769569397 seconds
Processing Time for 2022/04/25/2200H:  17.669642210006714 seconds
Processing Time for 2022/04/25/2300H:  12.670101165771484 seconds
Processing Time for 2022/04/26/0000H:  9.263306140899658 seconds
Processing Time for 2022/04/26/0100H:  5.021136045455933 seconds
Processing Time for 2022/04/26/0200H:  2.9051637649536133 seconds
Processing Time for 2022/04/26/0300H:  2.7206881046295166 seconds
Processing Time for 2022/04/26/0400H:  2.1341190338134766 seconds
Processing Time for 2022/04/26/0500H:  3.914670705795288 seconds
Processing Time for 2022/04/26/0600H:  5.627338647842407 seconds
Processing Time for 2022/04/26/0700H:  12.261570692062378 seconds
Processing Time for 2022/04/26/0800H:  7.993127346038818 seconds
Processing Time for 2022/04/26/0900H:  11.933530569076538 seconds
Processing Time for 2022/04/26/1000H:  12.750911474227905 seconds
Processing Time for 2022/04/26/1100H:  6.664611577987671 seconds
Processing Time for 2022/04/26/1200H:  11.433236837387085 seconds
Processing Time for 2022/04/26/1300H:  3.9728167057037354 seconds
Processing Time for 2022/04/26/1400H:  8.754902362823486 seconds
Processing Time for 2022/04/26/1500H:  7.242908000946045 seconds
Processing Time for 2022/04/26/1600H:  10.185432195663452 seconds
Processing Time for 2022/04/26/1700H:  5.866034030914307 seconds
Processing Time for 2022/04/26/1800H:  9.805222511291504 seconds
Processing Time for 2022/04/26/1900H:  9.718295574188232 seconds
Processing Time for 2022/04/26/2000H:  10.044990539550781 seconds
Processing Time for 2022/04/26/2100H:  5.420448541641235 seconds
Processing Time for 2022/04/26/2200H:  3.8065099716186523 seconds
Processing Time for 2022/04/26/2300H:  0.9736876487731934 seconds
Processing Time for 2022/04/27/0000H:  0.934443473815918 seconds
Processing Time for 2022/04/27/0100H:  0.33722472190856934 seconds
Processing Time for 2022/04/27/0200H:  0.29732179641723633 seconds
Processing Time for 2022/04/27/0300H:  0.415374755859375 seconds
Processing Time for 2022/04/27/0400H:  0.3158838748931885 seconds
Processing Time for 2022/04/27/0500H:  1.9392333030700684 seconds
Processing Time for 2022/04/27/0600H:  3.5098185539245605 seconds
Processing Time for 2022/04/27/0700H:  9.499399662017822 seconds
Processing Time for 2022/04/27/0800H:  4.774075269699097 seconds
Processing Time for 2022/04/27/0900H:  10.959080696105957 seconds
Processing Time for 2022/04/27/1000H:  11.594536542892456 seconds
Processing Time for 2022/04/27/1100H:  5.94196629524231 seconds
Processing Time for 2022/04/27/1200H:  9.971922159194946 seconds
Processing Time for 2022/04/27/1300H:  2.0312211513519287 seconds
Processing Time for 2022/04/27/1400H:  8.94877004623413 seconds
Processing Time for 2022/04/27/1500H:  5.885174989700317 seconds
Processing Time for 2022/04/27/1600H:  9.126264333724976 seconds
Processing Time for 2022/04/27/1700H:  4.479331731796265 seconds
Processing Time for 2022/04/27/1800H:  9.997704267501831 seconds
Processing Time for 2022/04/27/1900H:  10.874330043792725 seconds
Processing Time for 2022/04/27/2000H:  9.880271434783936 seconds
Processing Time for 2022/04/27/2100H:  5.611515283584595 seconds
Processing Time for 2022/04/27/2200H:  2.701242446899414 seconds
Processing Time for 2022/04/27/2300H:  0.7975056171417236 seconds
Processing Time for 2022/04/28/0000H:  0.6906068325042725 seconds
Processing Time for 2022/04/28/0100H:  0.15604877471923828 seconds
Processing Time for 2022/04/28/0200H:  0.14276361465454102 seconds
Processing Time for 2022/04/28/0300H:  0.30815863609313965 seconds
Processing Time for 2022/04/28/0400H:  0.1460282802581787 seconds
Processing Time for 2022/04/28/0500H:  1.9276878833770752 seconds
Processing Time for 2022/04/28/0600H:  3.516465902328491 seconds
Processing Time for 2022/04/28/0700H:  8.82837438583374 seconds
Processing Time for 2022/04/28/0800H:  3.920487403869629 seconds
Processing Time for 2022/04/28/0900H:  11.42975664138794 seconds
Processing Time for 2022/04/28/1000H:  11.166492700576782 seconds
Processing Time for 2022/04/28/1100H:  5.743927001953125 seconds
Processing Time for 2022/04/28/1200H:  11.328150510787964 seconds
Processing Time for 2022/04/28/1300H:  3.645246744155884 seconds
Processing Time for 2022/04/28/1400H:  9.325464248657227 seconds
Processing Time for 2022/04/28/1500H:  6.073354005813599 seconds
Processing Time for 2022/04/28/1600H:  8.858819723129272 seconds
Processing Time for 2022/04/28/1700H:  3.8440518379211426 seconds
Processing Time for 2022/04/28/1800H:  9.267584323883057 seconds
Processing Time for 2022/04/28/1900H:  9.494597911834717 seconds
Processing Time for 2022/04/28/2000H:  9.814608335494995 seconds
Processing Time for 2022/04/28/2100H:  4.660186529159546 seconds
Processing Time for 2022/04/28/2200H:  2.952512741088867 seconds
Processing Time for 2022/04/28/2300H:  0.6930274963378906 seconds
Processing Time for 2022/04/29/0000H:  0.7373313903808594 seconds
Processing Time for 2022/04/29/0100H:  0.455991268157959 seconds
Processing Time for 2022/04/29/0200H:  0.14264273643493652 seconds
Processing Time for 2022/04/29/0300H:  0.2995185852050781 seconds
Processing Time for 2022/04/29/0400H:  0.16078591346740723 seconds
Processing Time for 2022/04/29/0500H:  2.0354206562042236 seconds
Processing Time for 2022/04/29/0600H:  3.2599682807922363 seconds
Processing Time for 2022/04/29/0700H:  8.345078468322754 seconds
Processing Time for 2022/04/29/0800H:  4.117459058761597 seconds
Processing Time for 2022/04/29/0900H:  11.497889280319214 seconds
Processing Time for 2022/04/29/1000H:  11.627479076385498 seconds
Processing Time for 2022/04/29/1100H:  6.717394828796387 seconds
Processing Time for 2022/04/29/1200H:  11.106748819351196 seconds
Processing Time for 2022/04/29/1300H:  2.7820956707000732 seconds
Processing Time for 2022/04/29/1400H:  10.264216184616089 seconds
